NAME,High_med_inc,state,place,City_x,State,City_y,Latitude,Longitude,Store Count,Bar Count
"Germantown CDP, Maryland",108426,24,32025,Germantown CDP,Maryland,"Germantown CDP, Maryland",39.17130815,-77.26557848822242,0.0,5.0
"Glen Burnie CDP, Maryland",77666,24,32650,Glen Burnie CDP,Maryland,"Glen Burnie CDP, Maryland",39.1595439,-76.61515136556432,1.0,8.0
"Rockville city, Maryland",106338,24,67675,Rockville city,Maryland,"Rockville city, Maryland",39.08137805,-77.15207121157641,0.0,14.0
"Silver Spring CDP, Maryland",81557,24,72450,Silver Spring CDP,Maryland,"Silver Spring CDP, Maryland",39.00197,-77.020588,0.0,20.0
"Waldorf CDP, Maryland",107462,24,81175,Waldorf CDP,Maryland,"Waldorf CDP, Maryland",38.613537,-76.924754,0.0,0.0
"Boston city, Massachusetts",86331,25,7000,Boston city,Massachusetts,"Boston city, Massachusetts",42.360401,-71.05768162905511,0.0,20.0
"Brockton city, Massachusetts",74799,25,9000,Brockton city,Massachusetts,"Brockton city, Massachusetts",42.082564,-71.01845752916921,1.0,5.0
"Cambridge city, Massachusetts",109358,25,11000,Cambridge city,Massachusetts,"Cambridge city, Massachusetts",39.8129285,-85.1708971,0.0,0.0
"Framingham city, Massachusetts",89494,25,24960,Framingham city,Massachusetts,"Framingham city, Massachusetts",41.173209,-73.190759,0.0,20.0
"Haverhill city, Massachusetts",85561,25,29405,Haverhill city,Massachusetts,"Haverhill city, Massachusetts",42.77816025,-71.07684796648172,0.0,1.0
"Malden city, Massachusetts",99497,25,37875,Malden city,Massachusetts,"Malden city, Massachusetts",42.4273477,-71.0727315,0.0,20.0
"Medford city, Massachusetts",113253,25,39835,Medford city,Massachusetts,"Medford city, Massachusetts",42.418171,-71.106438,0.0,20.0
"Newton city, Massachusetts",163074,25,45560,Newton city,Massachusetts,"Newton city, Massachusetts",42.34631400000001,-71.23692209511606,0.0,20.0
"Quincy city, Massachusetts",90205,25,55745,Quincy city,Massachusetts,"Quincy city, Massachusetts",42.2509662,-71.0041959,0.0,7.0
